p_train,p_test,run_id,seed,epochs,mlp_depth,mlp_width,test_loss,test_accuracy
0.0,0.3125,4,1238,20,3,128,3.6037964725494387,0.5173
0.0,0.325,4,1238,20,3,128,3.882318877029419,0.4898
0.0,0.3375,4,1238,20,3,128,4.232263033676148,0.4703
0.0,0.35000000000000003,4,1238,20,3,128,4.531441519546509,0.449
0.0,0.36250000000000004,4,1238,20,3,128,4.8171590877532955,0.4321
0.0,0.375,4,1238,20,3,128,5.060230449676514,0.4105
0.0,0.3875,4,1238,20,3,128,5.381436501312256,0.3992
0.0,0.4,4,1238,20,3,128,5.654303890991211,0.3801
0.0,0.41250000000000003,4,1238,20,3,128,6.011125006103516,0.3672
0.0,0.42500000000000004,4,1238,20,3,128,6.296370561981202,0.351
0.0,0.4375,4,1238,20,3,128,6.597644431304932,0.3317
0.0,0.45,4,1238,20,3,128,6.866962036132812,0.3243
0.0,0.4625,4,1238,20,3,128,7.322010131072998,0.313
0.0,0.47500000000000003,4,1238,20,3,128,7.593286573028564,0.2992
0.0,0.48750000000000004,4,1238,20,3,128,8.019379291534424,0.2858
0.0,0.5,4,1238,20,3,128,8.325040642547608,0.2814
0.0,0.5125000000000001,4,1238,20,3,128,8.650116075134278,0.2666
0.0,0.525,4,1238,20,3,128,8.912099507904053,0.2563
0.0,0.5375,4,1238,20,3,128,9.427845246887207,0.2442
0.0,0.55,4,1238,20,3,128,9.706763818359375,0.2362
0.0,0.5625,4,1238,20,3,128,9.98065733795166,0.2309
0.0,0.5750000000000001,4,1238,20,3,128,10.481694638061523,0.2163
0.0,0.5875,4,1238,20,3,128,10.871036933898926,0.2097
0.0,0.6000000000000001,4,1238,20,3,128,11.301426167297363,0.1995
0.0,0.6125,4,1238,20,3,128,11.663667039489747,0.1963
0.0,0.625,4,1238,20,3,128,11.976785765075684,0.1919
0.0,0.6375000000000001,4,1238,20,3,128,12.369766798400878,0.1829
0.0,0.65,4,1238,20,3,128,12.790430824279785,0.1722
0.0,0.6625000000000001,4,1238,20,3,128,13.215311749267578,0.1754
0.0,0.675,4,1238,20,3,128,13.480157872009277,0.1662
0.0,0.6875,4,1238,20,3,128,13.951338275146485,0.1578
0.0,0.7000000000000001,4,1238,20,3,128,14.413930195617676,0.1503
0.0,0.7125,4,1238,20,3,128,14.878238011169433,0.1502
