folder,path,N,d_label,d_rows,d_cols,d,p,loss,activation,depth,width,feature_dim,mean_model_accuracy,median_model_accuracy,std_model_accuracy,q25_model_accuracy,q75_model_accuracy,num_noise_datasets_used,num_test_used,mean_models_per_noise_dataset
mlp_ensemble__dataset=mnist__replacement__p=0.97__N=3000__d=55x55__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=3000__d=55x55__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,3000,55x55,55,55,3025,0.97,mse,erf,3,2048,3025,0.6789099999999999,0.6818500000000001,0.035475994849000596,0.6555249999999999,0.70685,20,10000,10.0
mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=3000__d=64x64__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=3000__d=64x64__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,3000,64x64,64,64,4096,0.97,mse,erf,3,2048,4096,0.7124650000000001,0.7100500000000001,0.021505697531486626,0.703075,0.725875,20,10000,10.0
mlp_ensemble__dataset=mnist__replacement__p=0.97__N=3000__d=64x64__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=3000__d=64x64__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,3000,64x64,64,64,4096,0.97,mse,erf,3,2048,4096,0.70057,0.70085,0.026398905479703427,0.68445,0.7146250000000001,20,10000,10.0
mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=4000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=4000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,4000,28x28,28,28,784,0.97,mse,erf,3,2048,784,0.57478,0.5670999999999999,0.03265957746205545,0.557375,0.6012,20,10000,10.0
mlp_ensemble__dataset=mnist__replacement__p=0.97__N=4000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=4000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,4000,28x28,28,28,784,0.97,mse,erf,3,2048,784,0.5477399999999999,0.5574,0.03594604729020249,0.5215749999999999,0.5766,20,10000,10.0
mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=4000__d=43x43__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=4000__d=43x43__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,4000,43x43,43,43,1849,0.97,mse,erf,3,2048,1849,0.6629949999999999,0.6623,0.01876086281822375,0.65055,0.6763250000000001,20,10000,10.0
mlp_ensemble__dataset=mnist__replacement__p=0.97__N=4000__d=43x43__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=4000__d=43x43__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,4000,43x43,43,43,1849,0.97,mse,erf,3,2048,1849,0.64878,0.6564000000000001,0.030670637424090156,0.632725,0.661725,20,10000,10.0
mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=4000__d=55x55__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=4000__d=55x55__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,4000,55x55,55,55,3025,0.97,mse,erf,3,2048,3025,0.70611,0.7081500000000001,0.0184422541149965,0.6958,0.7178249999999999,20,10000,10.0
mlp_ensemble__dataset=mnist__replacement__p=0.97__N=4000__d=55x55__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=4000__d=55x55__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,4000,55x55,55,55,3025,0.97,mse,erf,3,2048,3025,0.699315,0.6979,0.02319882653565864,0.684125,0.71345,20,10000,10.0
mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=4000__d=64x64__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=4000__d=64x64__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,4000,64x64,64,64,4096,0.97,mse,erf,3,2048,4096,0.7110299999999999,0.70975,0.026150920281683154,0.6974,0.730075,20,10000,10.0
mlp_ensemble__dataset=mnist__replacement__p=0.97__N=4000__d=64x64__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=4000__d=64x64__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,4000,64x64,64,64,4096,0.97,mse,erf,3,2048,4096,0.704515,0.7122999999999999,0.024346712195630078,0.687775,0.7233999999999999,20,10000,10.0
